Date,Values
11-Jan,178.0588
11-Feb,216.3819
11-Mar,231.653
11-Apr,197.5518
11-May,209.374
11-Jun,249.4132
11-Jul,268.8992
11-Aug,341.3059
11-Sep,360.7092
11-Oct,364.7145
11-Nov,324.2269
11-Dec,403.9881
12-Jan,336.7173
12-Feb,319.8355
12-Mar,402.8156
12-Apr,290.7548
12-May,395.2223
12-Jun,349.1299
12-Jul,391.2499
12-Aug,462.8816
12-Sep,512.3176
12-Oct,498.4324
12-Nov,660.809
12-Dec,638.3337
13-Jan,605.4832
13-Feb,544.7992
13-Mar,518.1052
13-Apr,516.9923
13-May,657.1533
13-Jun,763.9797
13-Jul,977.0722
13-Aug,979.5363
13-Sep,970.9526
13-Oct,1182.104
13-Nov,1402.303
13-Dec,1273.5956
14-Jan,1550.0836
14-Feb,1364.6545
14-Mar,940.9426
14-Apr,1015.4865
14-May,1000.7918
14-Jun,947.2654
14-Jul,1024.0753
14-Aug,1018.5532
14-Sep,1115.372
14-Oct,950.6395
14-Nov,742.1115
14-Dec,889.2271
